name,fuente,lat,lon
Vision De Aguila 2,Davis,15.59652,-90.39293
Las Nubes,Davis,14.55201,-90.31602
Raaxhá - Insivumeh,Davis,15.93269,-90.54966
Oxec Ii - Insivumeh,Davis,15.58968,-89.72963
Stpj,Davis,14.68873,-91.61865
Hidroeléctrica Las Pacayas - Insivumeh,Davis,15.41111,-90.51215
San Rafael,ICC,14.02443611,-90.63366111
Saob,Davis,14.51777,-90.72948
Amazonas,ICC,14.066847,-90.774593
Santa Cruz La Lagunaa,Davis,14.74352,-91.20721
San Miguel Petapa,Davis,14.50136,-90.56102
Santa Ana 2,Davis,16.80904,-89.82333
Chisec 3,Davis,15.81325,-90.29221
Sayaxché 2,Davis,16.53081,-90.18933
Costa Brava,ICC,14.243342,-90.923006
Guatemala Z16 Shaddai,Davis,14.6024,-90.47276
Guatemala Z14 Shaddai,Davis,14.58233,-90.50065
Fg 12 Insivumeh,Davis,14.43329,-90.81924
Rio Bravo 2.0,Davis,14.39927,-91.31922
Mazatenango 2,Davis,14.53408,-91.50341
Sibilia 2,Davis,14.99499,-91.62398
Cantel 2,Davis,14.81106,-91.4559
San Rafael Pie De La Cuesta 2,Davis,14.93234,-91.91313
"El Llano, San Luis Jilotepeque",Davis,14.64325,-89.73975
"Cerro Arluta, Jalapa",Davis,14.62454,-89.98244
"San Manuel Chaparrón, Jalapa",Davis,14.52791,-89.77339
"Granja Lara, Guazacapán",Davis,14.064407,-90.44491
"Usac-Cunsaro, Chiquimulilla",Davis,14.076643,-90.3788
Soloma 3,Davis,15.65634,-91.4335
San Mateo Ixtatán 2,Davis,15.829762,-91.47675
Cunsaro Cuilapa,Davis,14.26565,-90.28662
"Finca Las Brisas, Agua Blanca",Davis,14.399402,-90.36509
"Acequia, El Progreso",Davis,14.327167,-89.859
"Finca Neblinas, Acatempa",Davis,14.225104,-90.09332
Fg17 Insivumeh Finca Asuncion,Davis,14.4439,-90.91575
"La Soledad Grande, Mataquescuintla",Davis,14.535753,-90.13308
"Finca La Colina, Mataquescuintla",Davis,14.54267,-90.19894
Yaxhá - Insivumeh Peten,Davis,17.05783,-89.38513
Irlanda,ICC,14.145975,-91.426786
Tululá,ICC,14.508158,-91.586808
La Giralda,ICC,13.980289,-90.930753
La Candelaria,ICC,13.912322,-90.559381
Chiquirines,ICC,14.5594444,-92.0422222
Providencia,ICC,14.365786,-91.845667
El Platanar,ICC,14.559675,-90.937931
Alamo,ICC,14.6281861,-92.1377472
Cocales,ICC,14.382847,-91.196198
La Maquina,ICC,13.8986833,-90.331502777778
Santa Teresa,ICC,14.449537,-90.531051
Yepocapa (Fca-Catie),ICC,14.483053,-90.961541
Bonanza,ICC,14.078331,-91.187261
Bouganvilia,ICC,14.11999444,-90.9414
Pueblo Real (Acax-Tnc),ICC,14.736308,-90.965263
Monte Alegre,ICC,14.085198,-91.023032
Sotz'Il - Waqxaqi' B'Alam,ICC,14.674384,-90.812536
La Joya,ICC,13.931036,-91.19881
San Antonio Ev,ICC,13.995419,-91.200217
